Station,Zone,Postcode,Latitude,Longitude,Easting,Northing
Rickmansworth,7,WD3 1QY,51.640322,-0.473685,505717,194605
Riddlesdown,6,CR8 1HN,51.332675,-0.099494,532497,161001
Roding Valley,4,IG9 6LN,51.616957,0.044026,541612,192882
Romford,6,RM1 1SX,51.574642,0.183055,551377,188455
Rotherhithe,2,SE16 4LF,51.501594,-0.052966,535239,179870
Royal Albert,3,E16 2QD,51.508494,0.045177,542029,180823
Royal Oak,2,W2 6ET,51.518294,-0.188824,525764,181485
Royal Victoria,3,E16 1DE,51.509055,0.017965,540139,180833
Ruislip,6,HA4 8LD,51.572161,-0.421235,509510,187102
Ruislip Gardens,5,HA4 6LG,51.55996,-0.409294,510367,185763
Ruislip Manor,6,HA4 9AA,51.573451,-0.412849,510088,187258
Russell Square,1,WC1N 1LG,51.523013,-0.12459,530207,182122
Sanderstead,6,CR2 0PL,51.348246,-0.093708,532855,162743
Sandilands,"3,4,5,6",CR0 5PN,51.375022,-0.078027,533869,165749
Selhurst,4,SE25 6LL,51.392186,-0.089899,532993,167636
Seven Kings,4,IG3 8RE,51.563994,0.09632,545401,187095
Seven Sisters,3,N15 5LA,51.583362,-0.072467,533646,188927
Shadwell,2,E1 2QE,51.5113,-0.056919,534936,180942
Shenfield,,CM15 8JD,51.630874,0.329952,561356,195022
Shepherds Bush,2,W12 8LH,51.504532,-0.218519,523741,179904
Shepherds Bush Market,2,W12 7JD,51.50588,-0.2274,523121,180039
Shoreditch High Street,1,E1 6AW,51.523467,-0.077087,533501,182258
Shortlands,4,BR2 0JA,51.405602,0.002768,539399,169300
Sidcup,5,DA15 7AW,51.434399,0.103315,546300,172698
Silver Street,4,N18 1QX,51.615242,-0.07259,533544,192472
Slade Green,6,DA8 2NX,51.467748,0.190518,552250,176584
Sloane Square,1,SW1W 8BB,51.49236,-0.156489,528080,178657
Slough,,SL1 1XW,51.511879,-0.591525,497838,180157
Snaresbrook,4,E11 1QE,51.580891,0.021464,540161,188828
South Acton,3,W3 0DS,51.499685,-0.270215,520166,179279
South Bermondsey,2,SE16 2PL,51.487677,-0.054755,535156,178319
South Croydon,5,CR2 7PA,51.36275,-0.092517,532896,164358
South Ealing,3,W5 4QB,51.501644,-0.30704,517605,179437
South Greenford,4,UB6 2WE,51.534027,-0.336737,515462,182991
South Hampstead,2,NW8 0DJ,51.541477,-0.178371,526425,184081
South Harrow,5,HA2 8HN,51.56468,-0.351894,514334,186376
South Kensington,1,SW7 2NB,51.494071,-0.173923,526865,178817
South Kenton,4,HA9 8QT,51.571044,-0.308143,517350,187153
South Merton,4,SW20 9JT,51.40324,-0.20555,524917,168662
South Quay,2,E14 9SH,51.500864,-0.018461,537636,179853
South Ruislip,5,HA4 6TP,51.55689,-0.399116,511080,185437
South Tottenham,3,N15 6ND,51.580402,-0.071856,533697,188599
South Wimbledon,"3,4",SW19 1DE,51.41536,-0.191975,525828,170033
South Woodford,4,E18 1JJ,51.591553,0.027943,540577,190026
Southall,4,UB2 4AA,51.505956,-0.378711,512620,179804
Southbury,5,EN3 4HW,51.648434,-0.052983,534803,196199
Southfields,3,SW18 5RJ,51.444883,-0.206609,524730,173291
Southgate,4,N14 5BH,51.632376,-0.12777,529675,194278
Southwark,1,SE1 8NW,51.503853,-0.105795,531566,180025
St Helier,4,SM4 6SF,51.389912,-0.199015,525408,167191
St James Street,3,E17 7PJ,51.580609,-0.032805,536402,188694
St Johns,2,SE8 4EW,51.468975,-0.023241,537400,176298
St Margarets,4,TW1 2LH,51.455205,-0.321324,516732,174250
St Mary Cray,6,BR5 3SN,51.39476,0.107218,546698,168298
St Pancras,1,NW1 2QP,51.530554,-0.125506,530122,182959
St. James's Park,1,SW1H 0BD,51.49961,-0.133879,529629,179503
St. Johns Wood,2,NW8 6DN,51.534854,-0.174065,526742,183352
St. Pauls,1,EC2V 6AA,51.514835,-0.097571,532105,181261
Stamford Brook,2,W6 0SB,51.49445,-0.245246,521913,178738
Stamford Hill,3,N16 5AG,51.574447,-0.076668,533381,187928
Stanmore,5,HA7 4PD,51.619673,-0.303099,517574,192569
Star Lane,3,E16 4SR,51.520604,0.004191,539148,182091
Stepney Green,2,E1 4AQ,51.521996,-0.047383,535566,182149
Stockwell,2,SW9 9AE,51.472159,-0.122846,530473,176470
Stoke Newington,2,N16 6YA,51.564637,-0.072335,533710,186845
Stonebridge Park,3,NW10 0RW,51.543986,-0.2754,519690,184197
Stoneleigh,5,KT17 2JA,51.363364,-0.24871,522021,164155
Stratford,3,E15 1AZ,51.541693,-0.003752,538533,184421
Stratford High Street,3,E15 3PA,51.538149,-0.00108,538729,184032
Stratford International,3,E15 2LZ,51.544809,-0.008778,538175,184758
Strawberry Hill,5,TW1 4PP,51.439747,-0.339618,515500,172502
Streatham,3,SW16 6HP,51.425846,-0.132325,529946,171303
Streatham Common,3,SW16 5NT,51.418984,-0.135726,529729,170534
Streatham Hill,3,SW2 4PA,51.43846,-0.127681,530233,172714
Sudbury and Harrow Road,4,HA0 2HA,51.554493,-0.315926,516853,185300
Sudbury Hill,4,HA1 3RA,51.557339,-0.336392,515427,185584
Sudbury Hill Harrow,4,HA1 3RJ,51.558342,-0.335447,515490,185697
Sudbury Town,4,HA0 2LA,51.551397,-0.316343,516832,184955
Sundridge Park,4,BR1 3TR,51.413394,0.020365,540599,170200
Surbiton,6,KT6 4PE,51.392599,-0.304385,518070,167315
Surrey Quays,2,SE16 2UE,51.493267,-0.04753,535641,178954
Sutton,5,SM1 1JA,51.359506,-0.191302,526028,163823
Sutton Common,4,SM1 3HY,51.375554,-0.19692,525593,165598
Swanley,8,BR8 8JD,51.393385,0.169225,551016,168271
Swiss Cottage,2,NW3 6HY,51.543035,-0.175627,526611,184259
Sydenham,3,SE26 5EU,51.427341,-0.055089,535311,171609
Sydenham Hill,3,SE21 7HW,51.432576,-0.08023,533548,172145
Syon Lane,4,TW7 5NT,51.481474,-0.326495,516306,177163
Tadworth,6,KT20 5SP,51.291627,-0.236008,523097,156199
Taplow,,SL6 0NU,51.523561,-0.681385,491579,181340
Tattenham Corner,6,KT18 5PR,51.309181,-0.242566,522593,158140
Teddington,6,TW11 9AA,51.424497,-0.332705,516019,170817
Temple,1,WC2R 2PH,51.51104,-0.113726,530995,180810
Thames Ditton,6,KT7 0PA,51.388616,-0.338293,515721,166818
Theobalds Grove,7,EN8 7BG,51.692373,-0.034748,535933,201119
Therapia Lane,"3,4,5,6",CR0 3DD,51.385686,-0.129017,530290,166843
Theydon Bois,6,CM16 7EU,51.672552,0.102891,545509,199180
Thornton Heath,4,CR7 8RX,51.398481,-0.100433,532242,168317
Tolworth,5,KT5 9NU,51.376843,-0.27962,519834,165603
Tooting,3,SW17 9JR,51.419896,-0.161002,527969,170591
Tooting Bec,3,SW17 9AH,51.435838,-0.1597,528015,172366
Tooting Broadway,3,SW17 0SU,51.427049,-0.168685,527415,171373
Tottenham Court Road,1,W1D 2DA,51.516211,-0.13111,529774,181354
Tottenham Hale,3,N17 9LR,51.587998,-0.060188,534483,189465
Totteridge and Whetstone,4,N20 9QP,51.630246,-0.179354,526111,193951
Tower Gateway,1,EC3N 1JL,51.510393,-0.07441,533725,180809
Tower Hill,1,EC3N 4DJ,51.510394,-0.076701,533566,180805
Tufnell Park,2,N19 5QB,51.556441,-0.137742,529200,185816
Tulse Hill,3,SE27 9BW,51.439797,-0.105123,531797,172903
Turkey Street,6,EN3 5TT,51.672654,-0.04723,535129,198903
Turnham Green,2,W4 1LR,51.495182,-0.254525,521267,178804
Turnpike Lane,3,N15 3NX,51.590358,-0.102805,531524,189650
Twickenham,5,TW1 1BD,51.45025,-0.32886,516221,173687
Twyford,,RG10 9NA,51.475533,-0.863307,479041,175787
Upminster,6,RM14 2TD,51.558764,0.251401,556167,186833
Upminster Bridge,6,RM12 6PL,51.557719,0.234542,555002,186681
Upney,4,IG11 9LS,51.538406,0.101532,545844,184260
Upper Holloway,2,N19 4DJ,51.563623,-0.129109,529778,186630
Upper Warlingham,6,CR3 0EP,51.308772,-0.077482,534100,158383
Upton Park,3,E13 9AP,51.536628,0.034542,541204,183931
Uxbridge,6,UB8 1JZ,51.546454,-0.477102,505698,184161
Vauxhall,"1,2",SW8 1SR,51.485736,-0.12383,530366,177978
Victoria,1,SW1E 5JX,51.496424,-0.143921,528941,179131
Waddon,5,CR0 4NA,51.367379,-0.117394,531151,164828
Waddon Marsh,"3,4,5,6",CR0 4XT,51.377083,-0.117987,531082,165906
Wallington,5,SM6 0DZ,51.360331,-0.150864,528841,163985
Waltham Cross,7,EN8 7LU,51.685257,-0.026564,536520,200343
Walthamstow Central,3,E17 7LP,51.583018,-0.019941,537286,188986
Walthamstow Queens Road,3,E17 7QZ,51.581546,-0.023844,537020,188815
Wandle Park,"3,4,5,6",CR0 4JS,51.373401,-0.113253,531422,165505
Wandsworth Common,3,SW12 8NL,51.446365,-0.163537,527719,173530
Wandsworth Road,2,SW8 4PA,51.470223,-0.139038,529354,176226
Wandsworth Town,2,SW18 1SU,51.461034,-0.18791,525985,175119
Wanstead,4,E11 2NT,51.574902,0.02876,540685,188176
Wanstead Park,3,E7 0HU,51.551778,0.02639,540592,185600
Wapping,2,E1W 3PA,51.50434,-0.055861,535030,180170
Warren Street,1,NW1 3AA,51.52458,-0.138278,529253,182272
Warwick Avenue,2,W9 2PT,51.523104,-0.182953,526158,182030
Waterloo,1,SE1 7NY,51.503146,-0.113259,531050,179933
Waterloo East,1,SE1 8NH,51.504168,-0.109154,531332,180054
Watford,7,WD18 7LE,51.657604,-0.41727,509579,196610
Watford High Street,8,WD17 2EG,51.652653,-0.391697,511360,196098
Watford Junction,,WD17 1ET,51.663882,-0.396172,511023,197340
Wellesley Road,"3,4,5,6",CR0 2DD,51.375367,-0.097525,532511,165752
Welling,4,DA16 3AT,51.464777,0.101775,546096,176073
Wembley Central,4,HA9 6AG,51.551864,-0.296392,518214,185039
Wembley Park,4,HA9 9AA,51.563322,-0.279243,519373,186341
Wembley Stadium,4,HA9 8BQ,51.554654,-0.286046,518924,185366
West Acton,3,W3 6UP,51.51777,-0.280657,519394,181273
West Brompton,2,SW5 9JX,51.487329,-0.195539,525383,178030
West Croydon,5,CR0 2TA,51.378552,-0.102034,532188,166098
West Drayton,6,UB7 9DY,51.51007,-0.472176,506124,180122
West Dulwich,3,SE21 8HN,51.440912,-0.090673,532798,173053
West Ealing,3,W13 0NQ,51.513625,-0.319783,516690,180749
West Finchley,4,N3 1NT,51.609262,-0.188917,525507,191601
West Ham,3,E15 3BN,51.528526,0.005317,539202,182974
West Hampstead,2,NW6 2LX,51.547474,-0.191127,525524,184726
West Hampstead Thameslink,2,NW6 1XJ,51.548629,-0.192538,525423,184852
West Harrow,5,HA1 4HE,51.578924,-0.353847,514163,187957
West India Quay,2,E14 4ED,51.506763,-0.020582,537471,180505
West Kensington,2,W14 9NL,51.490109,-0.206204,524635,178321
West Norwood,3,SE27 0HS,51.431241,-0.103189,531956,171955
West Ruislip,6,HA4 7WD,51.569587,-0.43786,508364,186791
West Silvertown,3,E16 2AT,51.502884,0.022246,540455,180155
West Sutton,5,SM1 2EH,51.36615,-0.204645,525081,164539
West Wickham,5,BR4 0PY,51.381284,-0.014576,538266,166563
Westbourne Park,2,W11 1AB,51.520989,-0.200883,524920,181764
Westcombe Park,3,SE3 7EQ,51.484509,0.017746,540199,178103
Westferry,2,E14 8AD,51.509638,-0.026323,537064,180814
Westminster,1,SW1A 2JR,51.501401,-0.125002,530240,179718
White City,2,W12 7RH,51.512232,-0.224632,523296,180750
White Hart Lane,3,N17 7RP,51.605035,-0.07087,533693,191340
Whitechapel,2,E1 1BY,51.519588,-0.05942,534738,181859
Whitton,5,TW2 7LG,51.449588,-0.357682,514220,173568
Whyteleafe,6,CR3 0AD,51.309929,-0.081135,533842,158505
Whyteleafe South,6,CR3 0BD,51.30349,-0.076713,534169,157797
Willesden Green,"2,3",NW2 4QT,51.549373,-0.222408,523350,184884
Willesden Junction,3,NW10 4RA,51.532234,-0.243909,521905,182942
Wimbledon,3,SW19 1PS,51.421108,-0.206663,524791,170647
Wimbledon Chase,3,SW20 8DB,51.409531,-0.21409,524306,169347
Wimbledon Park,3,SW19 7DZ,51.434581,-0.199186,525274,172158
Winchmore Hill,4,N21 3NG,51.633887,-0.100917,531529,194494
Wood Green,3,N22 8HH,51.597454,-0.109527,531038,190427
Wood Lane,2,W12 7DS,51.509658,-0.224473,523314,180464
Wood Street,4,E17 3NZ,51.58667,-0.001954,538521,189426
Woodford,4,IG8 7QE,51.607202,0.034056,540952,191778
Woodgrange Park,"3,4",E7 8AA,51.549053,0.044572,541861,185332
Woodmansterne,6,CR5 3HS,51.319018,-0.154262,528720,159385
Woodside,"3,4,5,6",SE25 5DP,51.387098,-0.065347,534716,167115
Woodside Park,4,N12 8SE,51.617868,-0.185426,525725,192564
Woolwich,4,SE18 6EU,51.491578,0.071819,543931,178994
Woolwich Arsenal,4,SE18 6HX,51.489907,0.069194,543754,178803
Woolwich Dockyard,3,SE18 5JY,51.491108,0.054612,542738,178908
Worcester Park,4,KT4 7ND,51.381104,-0.245575,522192,166133
