Financial Year,Period,Line,Lost Customer Hours
2016-17,13,Jubilee,"180,114"
2017-18,1,Jubilee,"242,339"
2017-18,2,Jubilee,"178,115"
2017-18,3,Jubilee,"305,022"
2017-18,4,Jubilee,"314,730"
2017-18,5,Jubilee,"280,449"
2017-18,6,Jubilee,"284,643"
2017-18,7,Jubilee,"295,954"
2017-18,8,Jubilee,"225,059"
2017-18,9,Jubilee,"268,320"
2017-18,10,Jubilee,"261,243"
2017-18,11,Jubilee,"293,864"
2017-18,12,Jubilee,"421,812"
2017-18,13,Jubilee,"435,935"
2018-19,1,Jubilee,"594,230"
2018-19,2,Jubilee,"248,067"
2018-19,3,Jubilee,"178,523"
2018-19,4,Jubilee,"339,414"
2018-19,5,Jubilee,"412,151"
2018-19,6,Jubilee,"276,089"
2018-19,7,Jubilee,"436,394"
2018-19,8,Jubilee,"678,819"
2018-19,9,Jubilee,"559,096"
2018-19,10,Jubilee,"523,077"
2018-19,11,Jubilee,"377,245"
2018-19,12,Jubilee,"365,425"
2018-19,13,Jubilee,"494,979"
2019-20,1,Jubilee,"354,980"
2019-20,2,Jubilee,"363,461"
2019-20,3,Jubilee,"468,455"
2019-20,4,Jubilee,"332,967"
2019-20,5,Jubilee,"689,453"
2019-20,6,Jubilee,"438,627"
2019-20,7,Jubilee,"629,321"
2019-20,8,Jubilee,"1,714,328"
2019-20,9,Jubilee,"1,712,594"
2019-20,10,Jubilee,"670,271"
2019-20,11,Jubilee,"458,398"
2019-20,12,Jubilee,"492,714"
2016-17,1,Metropolitan,"89,559"
2016-17,2,Metropolitan,"96,922"
2016-17,3,Metropolitan,"187,294"
2016-17,4,Metropolitan,"182,506"
2016-17,5,Metropolitan,"147,445"
2016-17,6,Metropolitan,"138,292"
2016-17,7,Metropolitan,"107,252"
2016-17,8,Metropolitan,"100,954"
2016-17,9,Metropolitan,"112,132"
2016-17,10,Metropolitan,"101,941"
2016-17,11,Metropolitan,"86,388"
2016-17,12,Metropolitan,"109,462"
2016-17,13,Metropolitan,"103,433"
2017-18,1,Metropolitan,"95,523"
2017-18,2,Metropolitan,"121,114"
2017-18,3,Metropolitan,"104,313"
2017-18,4,Metropolitan,"68,138"
2017-18,5,Metropolitan,"92,707"
2017-18,6,Metropolitan,"89,325"
2017-18,7,Metropolitan,"176,385"
2017-18,8,Metropolitan,"143,680"
2017-18,9,Metropolitan,"98,020"
2017-18,10,Metropolitan,"150,556"
2017-18,11,Metropolitan,"132,513"
2017-18,12,Metropolitan,"163,865"
2017-18,13,Metropolitan,"128,427"
2018-19,1,Metropolitan,"167,483"
2018-19,2,Metropolitan,"72,975"
2018-19,3,Metropolitan,"128,716"
2018-19,4,Metropolitan,"116,002"
2018-19,5,Metropolitan,"138,645"
2018-19,6,Metropolitan,"75,750"
2018-19,7,Metropolitan,"218,137"
2018-19,8,Metropolitan,"147,329"
2018-19,9,Metropolitan,"181,058"
2018-19,10,Metropolitan,"63,242"
2018-19,11,Metropolitan,"99,836"
2018-19,12,Metropolitan,"145,682"
2018-19,13,Metropolitan,"95,680"
2019-20,1,Metropolitan,"67,000"
2019-20,2,Metropolitan,"86,668"
2019-20,3,Metropolitan,"129,691"
2019-20,4,Metropolitan,"163,618"
2019-20,5,Metropolitan,"231,347"
2019-20,6,Metropolitan,"447,958"
2019-20,7,Metropolitan,"384,892"
2019-20,8,Metropolitan,"231,027"
2019-20,9,Metropolitan,"176,657"
2019-20,10,Metropolitan,"232,511"
2019-20,11,Metropolitan,"216,745"
2019-20,12,Metropolitan,"230,822"
2016-17,1,Northern,"207,184"
2016-17,2,Northern,"216,041"
2016-17,3,Northern,"196,815"
2016-17,4,Northern,"176,183"
2016-17,5,Northern,"273,465"
2016-17,6,Northern,"187,212"
2016-17,7,Northern,"146,064"
2016-17,8,Northern,"186,487"
2016-17,9,Northern,"373,999"
2016-17,10,Northern,"175,995"
2016-17,11,Northern,"182,189"
2016-17,12,Northern,"343,454"
2016-17,13,Northern,"214,669"
2017-18,1,Northern,"170,389"
2017-18,2,Northern,"262,082"
2017-18,3,Northern,"300,658"
2017-18,4,Northern,"241,389"
2017-18,5,Northern,"351,230"
2017-18,6,Northern,"443,563"
2017-18,7,Northern,"327,071"
2017-18,8,Northern,"296,341"
2017-18,9,Northern,"335,942"
2017-18,10,Northern,"282,568"
2017-18,11,Northern,"199,944"
2017-18,12,Northern,"352,569"
2017-18,13,Northern,"250,509"
2018-19,1,Northern,"349,157"
2018-19,2,Northern,"327,064"
2018-19,3,Northern,"263,251"
2018-19,4,Northern,"265,864"
2018-19,5,Northern,"284,368"
2018-19,6,Northern,"244,623"
2018-19,7,Northern,"224,814"
2018-19,8,Northern,"353,131"
2018-19,9,Northern,"253,422"
2018-19,10,Northern,"156,186"
2018-19,11,Northern,"344,309"
2018-19,12,Northern,"273,467"
2018-19,13,Northern,"257,700"
2019-20,1,Northern,"205,308"
2019-20,2,Northern,"207,278"
2019-20,3,Northern,"175,669"
2019-20,4,Northern,"574,229"
2019-20,5,Northern,"496,247"
2019-20,6,Northern,"660,197"
2019-20,7,Northern,"433,708"
2019-20,8,Northern,"431,304"
2019-20,9,Northern,"472,317"
2019-20,10,Northern,"497,688"
2019-20,11,Northern,"375,152"
2019-20,12,Northern,"411,029"
2016-17,1,Piccadilly,"125,575"
2016-17,2,Piccadilly,"121,990"
2016-17,3,Piccadilly,"161,332"
2016-17,4,Piccadilly,"162,980"
2016-17,5,Piccadilly,"200,244"
2016-17,6,Piccadilly,"233,146"
2016-17,7,Piccadilly,"196,498"
2016-17,8,Piccadilly,"293,900"
2016-17,9,Piccadilly,"2,084,103"
2016-17,10,Piccadilly,"665,091"
2016-17,11,Piccadilly,"251,783"
2016-17,12,Piccadilly,"322,246"
2016-17,13,Piccadilly,"314,521"
2017-18,1,Piccadilly,"342,234"
2017-18,2,Piccadilly,"356,732"
2017-18,3,Piccadilly,"462,024"
2017-18,4,Piccadilly,"529,679"
2017-18,5,Piccadilly,"251,453"
2017-18,6,Piccadilly,"265,981"
2017-18,7,Piccadilly,"248,329"
2017-18,8,Piccadilly,"217,662"
2017-18,9,Piccadilly,"229,541"
2017-18,10,Piccadilly,"221,140"
2017-18,11,Piccadilly,"261,583"
2017-18,12,Piccadilly,"358,321"
2017-18,13,Piccadilly,"307,578"
2018-19,1,Piccadilly,"234,430"
2018-19,2,Piccadilly,"195,414"
2018-19,3,Piccadilly,"218,262"
2018-19,4,Piccadilly,"240,860"
2018-19,5,Piccadilly,"430,080"
2018-19,6,Piccadilly,"241,244"
2018-19,7,Piccadilly,"265,760"
2018-19,8,Piccadilly,"286,497"
2018-19,9,Piccadilly,"455,996"
2018-19,10,Piccadilly,"225,322"
2018-19,11,Piccadilly,"297,649"
2018-19,12,Piccadilly,"284,032"
2018-19,13,Piccadilly,"260,526"
2019-20,1,Piccadilly,"346,862"
2019-20,2,Piccadilly,"239,352"
2019-20,3,Piccadilly,"325,610"
2019-20,4,Piccadilly,"457,500"
2019-20,5,Piccadilly,"454,139"
2019-20,6,Piccadilly,"387,057"
2019-20,7,Piccadilly,"273,665"
2019-20,8,Piccadilly,"177,034"
2019-20,9,Piccadilly,"237,201"
2019-20,10,Piccadilly,"218,613"
2019-20,11,Piccadilly,"285,770"
2019-20,12,Piccadilly,"519,687"
2016-17,1,Victoria,"159,153"
2016-17,2,Victoria,"152,276"
2016-17,3,Victoria,"190,018"
2016-17,4,Victoria,"393,877"
2016-17,5,Victoria,"205,436"
2016-17,6,Victoria,"166,393"
2016-17,7,Victoria,"224,291"
2016-17,8,Victoria,"189,783"
2016-17,9,Victoria,"201,823"
2016-17,10,Victoria,"228,735"
2016-17,11,Victoria,"461,392"
2016-17,12,Victoria,"196,643"
2016-17,13,Victoria,"213,448"
2017-18,1,Victoria,"225,964"
2017-18,2,Victoria,"146,791"
2017-18,3,Victoria,"297,388"
2017-18,4,Victoria,"273,416"
2017-18,5,Victoria,"273,815"
2017-18,6,Victoria,"238,329"
2017-18,7,Victoria,"348,575"
2017-18,8,Victoria,"273,665"
2017-18,9,Victoria,"355,577"
2017-18,10,Victoria,"240,733"
2017-18,11,Victoria,"219,767"
2017-18,12,Victoria,"386,117"
2017-18,13,Victoria,"280,633"
2018-19,1,Victoria,"182,576"
2018-19,2,Victoria,"273,077"
2018-19,3,Victoria,"427,165"
2018-19,4,Victoria,"271,192"
2018-19,5,Victoria,"272,290"
2018-19,6,Victoria,"228,607"
2018-19,7,Victoria,"372,054"
2018-19,8,Victoria,"433,881"
2018-19,9,Victoria,"342,101"
2018-19,10,Victoria,"190,358"
2018-19,11,Victoria,"294,200"
2018-19,12,Victoria,"341,968"
2018-19,13,Victoria,"257,446"
2019-20,1,Victoria,"451,182"
2019-20,2,Victoria,"425,703"
2019-20,3,Victoria,"486,638"
2019-20,4,Victoria,"355,886"
2019-20,5,Victoria,"359,503"
2019-20,6,Victoria,"344,607"
2019-20,7,Victoria,"603,805"
2019-20,8,Victoria,"443,621"
2019-20,9,Victoria,"617,025"
2019-20,10,Victoria,"370,875"
2019-20,11,Victoria,"458,295"
2019-20,12,Victoria,"416,006"
2016-17,1,Waterloo & City,"18,615"
2016-17,2,Waterloo & City,"2,559"
2016-17,3,Waterloo & City,"13,361"
2016-17,4,Waterloo & City,"4,043"
2016-17,5,Waterloo & City,"7,379"
2016-17,6,Waterloo & City,"3,611"
2016-17,7,Waterloo & City,"6,278"
2016-17,8,Waterloo & City,"6,238"
2016-17,9,Waterloo & City,"12,139"
2016-17,10,Waterloo & City,"4,438"
2016-17,11,Waterloo & City,"3,250"
2016-17,12,Waterloo & City,"8,790"
2016-17,13,Waterloo & City,"13,821"
2017-18,1,Waterloo & City,"11,649"
2017-18,2,Waterloo & City,"8,926"
2017-18,3,Waterloo & City,"9,159"
2017-18,4,Waterloo & City,"4,054"
2017-18,5,Waterloo & City,"3,782"
2017-18,6,Waterloo & City,"5,999"
2017-18,7,Waterloo & City,"12,089"
2017-18,8,Waterloo & City,"7,812"
2017-18,9,Waterloo & City,"8,632"
2017-18,10,Waterloo & City,"2,701"
2017-18,11,Waterloo & City,"17,289"
2017-18,12,Waterloo & City,"10,474"
2017-18,13,Waterloo & City,"3,876"
2018-19,1,Waterloo & City,"8,376"
2018-19,2,Waterloo & City,"12,036"
2018-19,3,Waterloo & City,"11,588"
2018-19,4,Waterloo & City,"6,511"
2018-19,5,Waterloo & City,"10,981"
2018-19,6,Waterloo & City,"10,757"
2018-19,7,Waterloo & City,"8,653"
2018-19,8,Waterloo & City,"3,086"
2018-19,9,Waterloo & City,"8,376"
2018-19,10,Waterloo & City,"3,150"
2018-19,11,Waterloo & City,"2,399"
2018-19,12,Waterloo & City,"4,139"
2018-19,13,Waterloo & City,"3,717"
2019-20,1,Waterloo & City,"3,680"
2019-20,2,Waterloo & City,"14,113"
2019-20,3,Waterloo & City,"1,841"
2019-20,4,Waterloo & City,"13,698"
2019-20,5,Waterloo & City,"7,560"
2019-20,6,Waterloo & City,"7,736"
2019-20,7,Waterloo & City,"6,047"
2019-20,8,Waterloo & City,"11,257"
2019-20,9,Waterloo & City,"4,514"
2019-20,10,Waterloo & City,"1,780"
2019-20,11,Waterloo & City,"3,982"
2019-20,12,Waterloo & City,"4,780"
