Survey Category,Survey Question,Identity,Percent,Proportion
Weekday Journey Purpose,Work,Younger People (<25),9,0.09
Weekday Journey Purpose,Personal business/shopping,Younger People (<25),13,0.13
Weekday Journey Purpose,Education,Disabled People,11,0.11
Weekday Journey Purpose,Leisure,Disabled People,27,0.27
Weekday Journey Purpose,Work,Disabled People,6,0.06
Weekday Journey Purpose,Personal business/shopping,Disabled People,45,0.45
Weekday Journey Purpose,Education,Non-disabled People,20,0.2
Weekday Journey Purpose,Leisure,Non-disabled People,20,0.2
Weekday Journey Purpose,Work,Non-disabled People,23,0.23
Weekday Journey Purpose,Personal business/shopping,Non-disabled People,20,0.2
Weekday Journey Purpose,Education,People on Lower Incomes,26,0.26
Weekday Journey Purpose,Leisure,People on Lower Incomes,21,0.21
Weekday Journey Purpose,Work,People on Lower Incomes,10,0.1
Weekday Journey Purpose,Personal business/shopping,People on Lower Incomes,31,0.31
Weekday Journey Purpose,Education,Heterosexual Londoners,null,
Weekday Journey Purpose,Leisure,Heterosexual Londoners,null,
Weekday Journey Purpose,Work,Heterosexual Londoners,null,
Weekday Journey Purpose,Personal business/shopping,Heterosexual Londoners,null,
Weekday Journey Purpose,Education,LGB Londoners,null,
Weekday Journey Purpose,Leisure,LGB Londoners,null,
Weekday Journey Purpose,Work,LGB Londoners,null,
Weekday Journey Purpose,Personal business/shopping,LGB Londoners,null,
Access to Information,Access the internet 'on the move',All Londoners,81,0.81
Access to Information,Use the TfL website daily,All Londoners,27,0.27
Access to Information,Access the internet 'on the move',White,76,0.76
Access to Information,Use the TfL website daily,White,21,0.21
Access to Information,Access the internet 'on the move',BAME,90,0.9
Access to Information,Use the TfL website daily,BAME,38,0.38
Access to Information,Access the internet 'on the move',Men,80,0.8
Access to Information,Use the TfL website daily,Men,30,0.3
Access to Information,Access the internet 'on the move',Women,81,0.81
Access to Information,Use the TfL website daily,Women,24,0.24
Access to Information,Access the internet 'on the move',Older People (65+),41,0.41
Access to Information,Use the TfL website daily,Older People (65+),5,0.05
Access to Information,Access the internet 'on the move',Younger People (<25),92,0.92
Access to Information,Use the TfL website daily,Younger People (<25),33,0.33
Access to Information,Access the internet 'on the move',Disabled People,70,0.7
Access to Information,Use the TfL website daily,Disabled People,25,0.25
Access to Information,Access the internet 'on the move',Non-disabled People,83,0.83
Access to Information,Use the TfL website daily,Non-disabled People,27,0.27
Access to Information,Access the internet 'on the move',People on Lower Incomes,69,0.69
Access to Information,Use the TfL website daily,People on Lower Incomes,28,0.28
Access to Information,Access the internet 'on the move',Heterosexual Londoners,null,
Access to Information,Use the TfL website daily,Heterosexual Londoners,null,
Access to Information,Access the internet 'on the move',LGB Londoners,null,
Access to Information,Use the TfL website daily,LGB Londoners,null,
Satisfaction,Satisfaction with value-for-money: Bus,All Londoners,75,0.75
Satisfaction,Satisfaction with value-for-money: Tube,All Londoners,71,0.71
Satisfaction,Satisfaction with value-for-money: Bus,White,77,0.77
Satisfaction,Satisfaction with value-for-money: Tube,White,72,0.72
Satisfaction,Satisfaction with value-for-money: Bus,BAME,73,0.73
Satisfaction,Satisfaction with value-for-money: Tube,BAME,68,0.68
Satisfaction,Satisfaction with value-for-money: Bus,Men,76,0.76
Satisfaction,Satisfaction with value-for-money: Tube,Men,72,0.72
Satisfaction,Satisfaction with value-for-money: Bus,Women,75,0.75
Satisfaction,Satisfaction with value-for-money: Tube,Women,70,0.7
Satisfaction,Satisfaction with value-for-money: Bus,Older People (65+),84,0.84
Satisfaction,Satisfaction with value-for-money: Tube,Older People (65+),92,0.92
Satisfaction,Satisfaction with value-for-money: Bus,Younger People (<25),74,0.74
Satisfaction,Satisfaction with value-for-money: Tube,Younger People (<25),69,0.69
Satisfaction,Satisfaction with value-for-money: Bus,Disabled People,77,0.77
Satisfaction,Satisfaction with value-for-money: Tube,Disabled People,85,0.85
Satisfaction,Satisfaction with value-for-money: Bus,Non-disabled People,75,0.75
Satisfaction,Satisfaction with value-for-money: Tube,Non-disabled People,84,0.84
Satisfaction,Satisfaction with value-for-money: Bus,People on Lower Incomes,74,0.74
Satisfaction,Satisfaction with value-for-money: Tube,People on Lower Incomes,73,0.73
Satisfaction,Satisfaction with value-for-money: Bus,Heterosexual Londoners,null,
Satisfaction,Satisfaction with value-for-money: Tube,Heterosexual Londoners,null,
Satisfaction,Satisfaction with value-for-money: Bus,LGB Londoners,null,
Satisfaction,Satisfaction with value-for-money: Tube,LGB Londoners,null,
